,sentence,tags
12,"A company often wants to calculate how much time off employees have aggregated through the years, therefor it needs to know how long the employee works at their company, the number of days of vacation it already has taken and the number of vacation days the company awards employees. ",O O O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
13,"The salary of the client, whether the client is a homeowner, and whether the client is employed will calculate the financial risk. ",O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-ACT O B-DER I-DER O 
14,"Next, your personal history is taken into account when calculating your panda points.",O O O B-BAS I-BAS O O O O O B-ACT O B-DER I-DER O 
15,"The season will determine the dinner of tonight, which determines the drinks.",O B-BAS O B-ACT O B-DER I-DER I-DER O O B-ACT O B-DER O 
16,The admissions officer reads the motivation letters and assigns a score to it.,O O O O O B-BAS I-BAS O O O B-DER O O O 
17,"To define which passengers are eligible to upgrade to Business or First class, the system evaluates the number of flights of a customer and the degree to which the economy cabin is overbooked.",O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
18,It is based on the physical sensation. ,O O B-ACT O O B-BAS I-BAS O 
19,The credit analyst makes a final decision based on the reports and issues at hand.,O O O O O B-DER I-DER B-ACT O O B-BAS O B-BAS I-BAS I-BAS O 
20,"The weather determines the sport we play today, which determines the burned calories. ",O B-BAS B-ACT O B-DER I-DER I-DER I-DER O O B-ACT O B-DER I-DER O 
21,The health condition itself is ascertained by physical and psychological tests.,O B-DER I-DER O O B-ACT O B-BAS O B-BAS I-BAS O 
22,Tracking GDP over time helps a government make decisions such as whether to stimulate the economy by pumping more cash into it or to cool it by pulling money out.,O B-BAS O O O O O O O O O B-DER I-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O 
23,"In the following fragment, car insurance cost will be specified depending on the person's age and whether the person was involved in an accident in the past.",O O O O O B-DER I-DER I-DER O O B-ACT O O O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
24,"The population is divided into three groups depending on their vulnerability, exposure, medical risks and age.",O B-DER I-DER I-DER I-DER I-DER I-DER B-ACT O O B-BAS O B-BAS O B-BAS I-BAS O B-BAS O 
25,weather which is determined by the season. ,B-DER O O B-ACT O O B-BAS O 
26,"An IQ of a patient is assessed from testing his verbal, math and abstract levels.",O B-DER I-DER I-DER I-DER O B-ACT O O O B-BAS O B-BAS O B-BAS I-BAS O 
27,"To decide on whether or not to approve a loan for a SME, the borrower’s attributes and the lender’s human capital is taken into account.",O B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O O 
28,"To establish the customer profile, we need information about previously watched movies.  ",O B-ACT O B-DER I-DER O O O O O B-BAS I-BAS I-BAS O 
29,"First, the health risk evaluation requires the client’s medical history, smoking habits, and lifestyle.",O O O B-DER I-DER I-DER B-ACT O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS O 
30,"The total price depends on the unit price, the number of units purchased and the discount policy.",O B-DER I-DER B-ACT O O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O 
31,The final approach combines the residual and stable dividend policies.,O B-DER I-DER B-ACT O B-BAS I-BAS I-BAS I-BAS I-BAS O 
32,"The employee bonus is assessed from a scoring, which is given by the sales department.",O B-DER I-DER O B-ACT O O B-BAS O O O O O O O O O 
33,"Before displaying a price, the system looks at whether the account holder is a rewards member. ",O B-ACT O B-DER O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
34,"Each member of the jury will assign a score, by fully reviewing your application, including your essays, your letters of recommendation and the notes taken by our interviewers.",O O O O O O B-ACT O B-DER O O O O O B-BAS O O O B-BAS O O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
35,Your doctor selects the appropriate tests based on your specific circumstances and taking into account new symptoms you may be experiencing.,O O O O B-DER I-DER B-ACT O O B-BAS I-BAS O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
36,"Your credit score, your home location, and your down payment are all factors that can affect your interest rate.",O B-BAS I-BAS O O B-BAS I-BAS O O O B-BAS I-BAS O O O O O B-ACT O B-DER I-DER O 
37,"The borrower’s attributes consist of the relationship with the bank, firm size, value of collateral, related business experience, and share of investment.",O B-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O 
38,"For any period of time, the level of labor productivity is determined by two broad factors: capital equipment and applied technical efficiency.",O O O O O O O B-DER I-DER I-DER I-DER O B-ACT O O O O O B-BAS I-BAS O B-BAS I-BAS I-BAS O 
39,"After taking a medical history and performing a physical examination, the doctor may have some ideas as to what may be causing a person’s symptoms.",O O O B-BAS I-BAS O O O B-BAS I-BAS O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
40,"The total shipping cost is calculated by adding a base ""Per Shipment"" cost and various ""Per Item"" costs.",O B-DER I-DER I-DER O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
41,It is an important statistic that indicates whether an economy is growing or contracting.,O O O O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
42,"Second, the financial risk is based on the salary of the client and whether the client is a homeowner or not.",O O O B-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O 
43,The overall quality of life influences the person's health status. ,O B-BAS I-BAS I-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER O 
44,"Rates increase, or vary, from the base rate depending on the items in the cart.",B-DER O O O O O O O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS O 
45,Physical and psychological tests define the health condition. ,B-BAS O B-BAS I-BAS B-ACT O B-DER I-DER O 
46,"The GDP calculation accounts for spending on both exports and imports, this calculation includes all of the factors of production that make up an economy.",O B-DER I-DER B-ACT O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-ACT O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
47,The credit analyst bases its final decision on the reports and issues at hand.,O O O B-ACT O B-DER I-DER O O B-BAS O B-BAS I-BAS I-BAS O 
48,"For buyers within the United States, shipping charges and options vary according to the product being purchased, and are listed in the chart below unless otherwise noted in the seller's policies.",O O O O O O O B-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS O O O O O O O O O O O O O O O O O 
49,"This will depend on the individual employer, the type of role, and your relevant skills and experience.",O O B-ACT O O B-BAS I-BAS O O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS O 
50,"To decide whether a client is eligible for credit, the health risk, the financial risk, and the employment of the client need to be evaluated.",O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS O O B-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS O O O O O 
51,Demand is based on the number of traders and investors looking to buy shares.,B-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
52,"scoring, which is based on the working hours and profit.",B-DER O O O B-ACT O O B-BAS I-BAS O B-BAS O 
53,Seller ratings is a number that represents other buyers’s experience of making a purchase from your seller.,B-DER I-DER O O O O B-ACT B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
54,NEAT can play a rather large or small role in your overall TDEE depending on how physically active your job or daily happenings are. ,B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
55,The dividend payout amount is typically determined through forecasting long-term earnings and calculating a percentage of earnings to be paid out.,O B-DER I-DER I-DER O O B-ACT O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
56,Businesses may use it as a factor when deciding whether to expand or contract production or whether to undertake major projects.,O O O O O O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER O B-DER I-DER I-DER I-DER I-DER O 
57,"The availability of the requested car group (AsRequested), and if an update group is available (Upgrade) define the availability of a vehicle.",O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER O 
58,"The sexual activity level of a person is assessed by the number of panda points, your gender and your relationship status.",O B-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O O B-BAS O O B-BAS I-BAS O 
59,Your final grade will determine if you pass the exam or not. ,O B-BAS I-BAS O B-ACT O O B-DER I-DER I-DER O O O 
60,"physical sensations a person experiences during physical activity, including increased heart rate, increased respiration or breathing rate, increased sweating, and muscle fatigue.",B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS O 
61,"The lender’s human capital consists of education, banking experience, lending experience and exposure to SME loans.",O B-DER I-DER I-DER I-DER I-DER B-ACT O B-BAS O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS O 
62,The employee bonus is assessed from a scoring.,O B-DER I-DER O B-ACT O O B-BAS O 
63,"Whether or not a loan is granted to a borrower, is determined by the following factors: the borrower’s reputation, the borrower’s financial condition, future prospects and firm ability.  ",B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-ACT O O O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS O 
64,"The health status refers to patients' symptoms, functional status, and quality of life.",O B-DER I-DER B-ACT O B-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS I-BAS O 
65,"Furthermore, the obesity level or degree of overweight should be assessed by the BMI value and sex of the patient.",O O O B-DER I-DER O B-DER I-DER I-DER O O B-ACT O O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS O 
66,The product to be manufactured defines the supplier of raw materials. ,O B-BAS I-BAS I-BAS I-BAS B-ACT O B-DER I-DER I-DER I-DER O 
67,The number of holidays you'll get awarded depends on your age and years of service.,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O O B-BAS O B-BAS I-BAS I-BAS O 
68,Your age determines your ability to drive a car and on the other side your insurance will define your coverage in case of an accident.,O B-BAS B-ACT O B-DER I-DER I-DER I-DER I-DER O O O O O O B-BAS O B-ACT O B-DER O O O O O O 
69,"Sleep deprivation leaves your brain exhausted, so it can’t perform its duties as well, it also negatively affects your mental abilities and emotional state.",B-BAS I-BAS O O O O O O O O O O O O O O O O O O O B-ACT O B-DER I-DER O B-DER I-DER O 
70,"score, which takes into account your commisions and hours worked. ",B-DER O O B-ACT O O O B-BAS O B-BAS I-BAS O 
71,A very important part of preparing the loan file is determining the most appropriate loan terms and conditions.,O O O O O O O B-DER I-DER O B-ACT O B-BAS I-BAS I-BAS I-BAS O B-BAS O 
72,Feedback scores are calculated as the total of positive ratings from unique trading partners minus the total of negative ratings from unique trading partners.,B-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
73,The decision of loan approval for a SME requires information about the borrower’s attributes and the lender’s human capital.,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
74,A person's age and physical condition influence your actual heart rate. ,O B-BAS I-BAS I-BAS O B-BAS I-BAS O O B-DER I-DER I-DER O 
75,The base premium and the auto premium determine the car premium.,O B-BAS I-BAS O O B-BAS I-BAS B-ACT O B-DER I-DER O 
76,"Tests and procedures used to stage breast cancer may include: blood tests, a mammogram, or a Breast MRI.",O O O O O B-DER I-DER I-DER O B-ACT O B-BAS I-BAS O O B-BAS O O O B-BAS I-BAS O 
77,The customer's discount depends on the customer status and this depends on order amount.,O B-DER I-DER I-DER B-ACT O O B-BAS I-BAS O O B-ACT O B-BAS I-BAS O 
78,"To assess the employee bonus, the HR department needs to give a score.",O B-ACT O B-DER I-DER O O O O O O O O B-BAS O 
79,"The approval decision of an unemployment benefit is based on one or more of the following criteria: the citizen’s nationality, the employment period, the employment type, the validation of the ID card, the physical test result, and also the health condition of the applicant.",O B-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O O O O O O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
80,"Real estate valuation is often based on strategies that are similar to equity analysis,such as the discounted NOI and gross income multiplier approach.",B-DER I-DER I-DER O O B-ACT O O O O O O O O O O O O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS O 
81,A client’s creditworthiness is ascertained by evaluating and verifying the information provided by the client.,O B-DER I-DER I-DER I-DER O B-ACT O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
82,"Your doctor determines your breast cancer treatment options based on your type of breast cancer, its stage and grade, size, and whether the cancer cells are sensitive to hormones.",O O O O B-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O B-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
83,"The GDP calculation includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.",O B-DER I-DER B-ACT O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS O 
84,The application risk of a client is assessed by the predicted score of the application risk score model and the application risk category table.,O B-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
85,The weather is determined by the season and the movie recommendation is determined by the period of the year.,O B-DER O B-ACT O O B-BAS O O B-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O 
86,"People with health conditions such as high blood pressure, unhealthy cholesterol levels, or obesity experience a higher risk of heart disease.",O O O O O O O B-BAS I-BAS O O B-BAS I-BAS O O B-BAS O O O B-DER I-DER I-DER I-DER O 
87,"Specialization factors, such as muscle memory or learning new techniques, and better training can influence technical efficiency.",O O O O O B-BAS I-BAS O B-BAS I-BAS I-BAS O O B-BAS I-BAS O B-ACT B-DER I-DER O 
88,Your cancer's stage helps determine your prognosis and the best treatment options.,O B-BAS I-BAS I-BAS O B-ACT O B-DER O O B-DER I-DER I-DER O 
89,"First, the health risk is ascertained by taking into account the client’s medical history, smoking habits, and lifestyle.",O O O B-DER I-DER O B-ACT O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS O 
90,"Credit scores are calculated based on the information in your credit report, which includes your loans, credit cards, and payment history.",B-DER I-DER O O B-ACT O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-ACT O B-BAS O B-BAS I-BAS O O B-BAS I-BAS O 
91,"The physical health score is determined from the physical fitness score, BMI based health risk level and healthiness of senses.",O B-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O 
92,The dinner is influenced by the season and the drinks are determined by the guests.,O B-DER O B-ACT O O B-BAS O O B-DER O B-ACT O O B-BAS O 
93,"To assess whether an employee gets a bonus, the HR department needs to give a score.",O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER O O O O O O O O B-BAS O 
94,"Based on the collected information, the Intelligent Admission Application System classifies the candidates into inacceptable, medium or top candidates.",B-ACT O O B-BAS I-BAS O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER O 
95,"In a car rental company, the decision to offer or refuse a rental depends on age eligibility, drop-off validity and availability of the requested vehicle.",O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O 
96,"The unit price, the number of units purchased, and the discount policy influence the total price.",O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS B-ACT O B-DER I-DER O 
97,"As far as the supply side, this represents the number of the company’s shares that are available to buy and sell.",O O O O B-DER I-DER O O B-ACT O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
98,"Age, history of incidents and profession determine the kind of auto insurance you get.",B-BAS O B-BAS I-BAS I-BAS O B-BAS B-ACT O B-DER I-DER I-DER I-DER O O O 
99,The dinner and the drinks depend on the guests and the weather. ,O B-DER O O B-DER B-ACT O O B-BAS O O B-BAS O 
100,The bonus is calculated based on your employment during the previous calendar year.,O B-DER O B-ACT O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
101,"A credit check is based on credit history, which includes the number of open accounts, total levels of debt, and repayment history, and other factors. ",O B-DER I-DER O B-ACT O B-BAS I-BAS O O B-ACT O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O O B-BAS I-BAS O 
102,To decide on what we drink tonight we first want to know what we will have for dinner and how old the guests are. ,O B-ACT O B-DER I-DER I-DER I-DER O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O 
103,"The next step to assess the value of the real estate property is to determine the gross income multiplier and multiply it by the gross annual income, which is based on historical sales data.",O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER O O B-ACT O B-BAS I-BAS I-BAS O O O O O B-BAS I-BAS I-BAS O O O B-ACT O B-BAS I-BAS I-BAS O 
104,"This change of your nipple can be influenced by quick and temporary changes, hormonal fluctuations, and even age.",O B-DER I-DER I-DER I-DER O O B-ACT O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O O B-BAS O 
105,"Based on your function and your senior level, the company can determine the amount of vacation days you will get awarded.",O O O B-BAS O O B-BAS I-BAS O O O O B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
106,"The lender’s human capital, on the other hand, includes education, banking experience, lending experience and the exposure to SME loans.",O B-DER I-DER I-DER I-DER I-DER O O O O O O B-ACT B-BAS O B-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
107,The actual heart rate can vary quite a bit depending on age and physical condition.  ,O B-DER I-DER I-DER O O O O O B-ACT O B-BAS O B-BAS I-BAS O 
108,"The end of the year premium can consist of a combination of the following premiums: the anciennity premium, the presence premium, the productivity premium.",O B-DER I-DER I-DER I-DER I-DER O B-ACT O O O O O O O O O B-BAS I-BAS O O B-BAS I-BAS O O B-BAS I-BAS O 
109,Your integration income depends on the category to which you belong.,O B-DER I-DER B-ACT O O B-BAS O O O O O 
110,"What jobs am I eligible for, this will depend on the individual employer, the type of role, and your relevant skills and experience.",B-DER I-DER I-DER I-DER I-DER I-DER O O O B-ACT O O B-BAS I-BAS O O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS O 
111,"credit points, which is determined by the number of contact hours, assessments, and hours for personal study related to the course.",B-DER I-DER O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS O B-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
112,It plays a key role in a lender's decision to offer you credit.,O B-ACT O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
113,Genetic factors likely play some role in high blood pressure and heart disease.,B-BAS I-BAS O B-ACT O O O O B-DER I-DER O B-DER I-DER O 
114,"Determine the reputation of a seller on eBay by looking at their seller rating, feedback score, and the number of items they've sold.",B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS O B-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
115,Complications of breast cancer surgery depend on the procedures you choose.,B-DER I-DER I-DER I-DER I-DER B-ACT O O B-BAS O O O 
116,"Operating expenses include those that are directly incurred through the day-to-day operations of the building, such as property insurance, management fees, maintenance fees, and utility costs.",B-DER I-DER B-ACT O O O O O O O O O O O O O O O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS O 
117,"It includes the wages paid to labor, the rent earned by land, the return on capital in the form of interest, and the entrepreneur’s profits.",O B-ACT O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS O 
118,"The amount of working capital a small business needs to run smoothly depends largely on the type of business, its operating cycle, and management goals.",O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O O O B-BAS I-BAS I-BAS O O B-BAS I-BAS O O B-BAS I-BAS O 
119,A lack of sleep can also compromise decision-making processes and creativity.,O O O B-BAS O O O B-DER I-DER O B-DER O 
120,"Antibody tests can tell us whether someone has had an infection in the past, even if they have not had symptoms.",B-BAS I-BAS O B-ACT O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O O O O O 
121,Your customer profile and the time of the year define your movie recommendation.,O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS B-ACT O B-DER I-DER O 
122," The person’s assigned group is divided into three groups depending on their vulnerability, exposure, medical risks and age.",O B-DER I-DER I-DER I-DER I-DER O O O O O O O O B-BAS O B-BAS O B-BAS I-BAS O B-BAS O 
123,"Here the decision of loan granting depends on the following factors: the borrower’s reputation, the borrower’s financial condition, future prospects, firm ability and management experience, capital, firms prospects.",O O B-DER I-DER I-DER I-DER B-ACT O O O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS O B-BAS I-BAS O 
124,To check for deviation of the operation route one should consider the GPS Location and the present operation route.,O B-ACT O B-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS O O B-BAS I-BAS I-BAS O 
125,This is an important statistic that indicates whether an economy is growing or contracting.,O O O O O O B-ACT B-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
126,"Furthermore, the meal we have is influenced by the weather.",O O O B-DER O O O B-ACT O O B-BAS O 
127,"The end of year premium is influenced by (a combination of) the following premiums: the anciennity premium, the presence premium, the productivity premium.",O B-DER I-DER I-DER I-DER O B-ACT O O O O O O O O O O O B-BAS I-BAS O O B-BAS I-BAS O O B-BAS I-BAS O 
128,"Your course study load is measured by credit points, which is determined by the number of contact hours, assessments, and hours for personal study related to the course.",O B-DER I-DER I-DER O B-ACT O B-BAS I-BAS O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS O B-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
129,The season will determine the dinner of tonight. ,O B-BAS O B-ACT O B-DER I-DER I-DER O 
130,"Whether an unemployment benefit is approved or not, depends on a citizen’s nationality, the employment period and employment type, the validation of the ID card, the physical test result, and also the citizen’s health condition.",B-DER I-DER I-DER I-DER I-DER I-DER O O O B-ACT O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
131,The period in which a person will get vaccinated is determined by the number of available doses and the person’s assigned group. ,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O B-ACT O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
132,The period in which a person will get vaccinated depends on the number of available doses and the person’s assigned group.,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER B-ACT O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
133,"In most cases, the bank may require the borrower to provide a feasibility report of the project they are about to undertake to evaluate the risk.",O O O O O O O B-ACT O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O B-DER I-DER I-DER O 
